date,race_no,race_name,distance_m,deadline,teiban,toban,name,age,branch,weight,kyubetsu,zenkoku_shoritsu,zenkoku_2ritsu,touchi_shoritsu,touchi_2ritsu,no_touchi_data,motor_no,motor_2ritsu,boat_no,boat_2ritsu,konsetsu,in_confidence,upset_risk,verdict,bet_shape
2026-08-06,1,予選,1800,15:17,1,5186,遠藤圭吾,26,東京,54,B1,4.67,28.74,3.59,18.52,0,68,29.17,50,37.18,6 64,低,高,見送り,"1号艇の頭は避ける。買うなら2号艇軸で 3連単フォーメーション 2-{3,6}-{1,3,5,6}（6点）、または複勝 2号艇 1点"
2026-08-06,1,予選,1800,15:17,2,4950,高岡竜也,33,山口,52,A1,6.55,49.55,7.29,64.29,0,77,38.46,14,32.89,4 26,低,高,見送り,"1号艇の頭は避ける。買うなら2号艇軸で 3連単フォーメーション 2-{3,6}-{1,3,5,6}（6点）、または複勝 2号艇 1点"
2026-08-06,1,予選,1800,15:17,3,4234,野相弘司,42,福岡,60,B1,4.79,29.17,5.22,40.74,0,79,37.18,90,31.08,136,低,高,見送り,"1号艇の頭は避ける。買うなら2号艇軸で 3連単フォーメーション 2-{3,6}-{1,3,5,6}（6点）、または複勝 2号艇 1点"
2026-08-06,1,予選,1800,15:17,4,3797,岩井繁,53,広島,61,B1,3.64,11.88,2.67,0.00,0,15,27.63,88,37.88,421,低,高,見送り,"1号艇の頭は避ける。買うなら2号艇軸で 3連単フォーメーション 2-{3,6}-{1,3,5,6}（6点）、または複勝 2号艇 1点"
2026-08-06,1,予選,1800,15:17,5,4203,小倉康典,43,群馬,53,B1,4.14,23.08,3.13,4.35,0,36,12.82,87,38.36,632,低,高,見送り,"1号艇の頭は避ける。買うなら2号艇軸で 3連単フォーメーション 2-{3,6}-{1,3,5,6}（6点）、または複勝 2号艇 1点"
2026-08-06,1,予選,1800,15:17,6,4195,前川守嗣,44,福岡,59,B1,5.46,38.46,5.67,44.44,0,72,31.25,75,40.63,451,低,高,見送り,"1号艇の頭は避ける。買うなら2号艇軸で 3連単フォーメーション 2-{3,6}-{1,3,5,6}（6点）、または複勝 2号艇 1点"
2026-08-06,2,予選,1800,15:45,1,5235,岩田凌,27,大阪,55,B2,4.08,12.50,2.28,4.76,0,32,33.77,53,33.82,5 63,低,高,見送り,"1号艇の頭は避ける。買うなら3号艇軸で 3連単フォーメーション 3-{2,5}-{2,4,5,6}（6点）、または複勝 3号艇 1点"
2026-08-06,2,予選,1800,15:45,2,3790,佐口達也,54,群馬,53,B1,4.73,25.25,5.31,38.46,0,13,27.27,83,34.72,165,低,高,見送り,"1号艇の頭は避ける。買うなら3号艇軸で 3連単フォーメーション 3-{2,5}-{2,4,5,6}（6点）、または複勝 3号艇 1点"
2026-08-06,2,予選,1800,15:45,3,4644,山田亮太,47,東京,52,A1,6.63,47.50,6.60,40.00,0,50,22.37,77,30.77,4 16,低,高,見送り,"1号艇の頭は避ける。買うなら3号艇軸で 3連単フォーメーション 3-{2,5}-{2,4,5,6}（6点）、または複勝 3号艇 1点"
2026-08-06,2,予選,1800,15:45,4,4457,神田達也,40,愛知,52,B1,4.55,27.27,5.44,43.75,0,34,31.17,85,34.78,445,低,高,見送り,"1号艇の頭は避ける。買うなら3号艇軸で 3連単フォーメーション 3-{2,5}-{2,4,5,6}（6点）、または複勝 3号艇 1点"
2026-08-06,2,予選,1800,15:45,5,4883,岡部大輝,30,東京,52,A2,6.20,44.68,6.25,46.43,0,66,26.67,32,33.33,411,低,高,見送り,"1号艇の頭は避ける。買うなら3号艇軸で 3連単フォーメーション 3-{2,5}-{2,4,5,6}（6点）、または複勝 3号艇 1点"
2026-08-06,2,予選,1800,15:45,6,4081,樋口範政,47,愛知,55,B1,5.24,32.00,4.95,36.84,0,67,32.89,35,32.39,321,低,高,見送り,"1号艇の頭は避ける。買うなら3号艇軸で 3連単フォーメーション 3-{2,5}-{2,4,5,6}（6点）、または複勝 3号艇 1点"
2026-08-06,3,予選,1800,16:10,1,3392,小森信雄,60,三重,52,B1,4.40,16.47,3.75,12.50,0,76,17.57,39,29.33,655,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,3,予選,1800,16:10,2,4890,石川諒,37,山口,52,A2,6.04,38.95,5.44,22.22,0,69,34.25,64,27.16,123,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,3,予選,1800,16:10,3,5031,渡辺空依,28,福岡,55,B1,4.78,27.71,4.73,27.27,0,84,32.91,72,31.51,115,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,3,予選,1800,16:10,4,5298,水谷理人,24,香川,51,A1,7.40,58.43,5.18,28.57,0,85,35.29,21,34.29,364,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,3,予選,1800,16:10,5,5244,黒田剛,25,福岡,52,B1,4.11,20.27,0.00,0.00,1,59,27.85,19,19.74,351,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,3,予選,1800,16:10,6,4390,松本弓雄,40,徳島,52,B1,4.19,18.45,2.53,5.88,0,75,28.77,54,29.73,6 46,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,4,予選,1800,16:33,1,5301,岩下巧斗,23,群馬,51,B1,5.31,32.14,3.53,10.53,0,60,43.04,69,39.06,342,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,4,予選,1800,16:33,2,3976,内田圭,49,山口,53,B1,3.35,15.66,4.63,29.63,0,11,44.00,56,30.14,2 42,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,4,予選,1800,16:33,3,4120,柘植政浩,45,滋賀,52,A2,6.00,43.59,6.16,44.74,0,82,36.71,29,35.14,421,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,4,予選,1800,16:33,4,4944,田代達也,35,東京,55,B1,3.80,14.67,0.00,0.00,1,81,21.74,57,33.78,6 15,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,4,予選,1800,16:33,5,4083,福島勇樹,46,東京,53,A1,7.43,62.50,4.62,30.77,0,62,27.50,27,24.00,634,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,4,予選,1800,16:33,6,5131,江藤敦宏,27,福岡,52,B1,4.36,20.69,2.88,12.50,0,31,24.05,31,41.89,3 66,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-06,5,住之江ファイ,1800,17:01,1,4233,亀山雅幸,43,群馬,53,A2,5.96,45.13,6.27,46.67,0,58,32.89,55,36.49,266,高,低,勝負,"3連単フォーメーション 1-{4,6}-{3,4,5,6}（6点）"
