date,race_no,race_name,distance_m,deadline,teiban,toban,name,age,branch,weight,kyubetsu,zenkoku_shoritsu,zenkoku_2ritsu,touchi_shoritsu,touchi_2ritsu,no_touchi_data,motor_no,motor_2ritsu,boat_no,boat_2ritsu,konsetsu,in_confidence,upset_risk,verdict,bet_shape
2026-08-18,1,一般戦,1800,15:19,1,4977,馬野耀,32,大阪,55,A2,6.25,43.56,5.88,40.22,0,55,41.98,31,37.80,2 442 4345,中,高,標準,"3連単フォーメーション 1-{4,6}-{2,4,6}（4点） ＋ 3連複 1=4=6 1点（対抗の1着を押さえ）"
2026-08-18,1,一般戦,1800,15:19,2,3977,山本兼士,49,大阪,53,B1,4.21,15.79,5.02,26.67,0,71,38.55,90,31.33,535 533 3,中,高,標準,"3連単フォーメーション 1-{4,6}-{2,4,6}（4点） ＋ 3連複 1=4=6 1点（対抗の1着を押さえ）"
2026-08-18,1,一般戦,1800,15:19,3,4639,雑賀勇貴,35,大阪,54,B1,4.29,22.58,4.62,28.57,0,18,27.27,37,34.25,544 446 2,中,高,標準,"3連単フォーメーション 1-{4,6}-{2,4,6}（4点） ＋ 3連複 1=4=6 1点（対抗の1着を押さえ）"
2026-08-18,1,一般戦,1800,15:19,4,4514,上條嘉嗣,36,大阪,53,A1,6.66,54.89,6.97,54.55,0,72,30.34,12,40.54,2 415 351,中,高,標準,"3連単フォーメーション 1-{4,6}-{2,4,6}（4点） ＋ 3連複 1=4=6 1点（対抗の1着を押さえ）"
2026-08-18,1,一般戦,1800,15:19,5,5463,出口飛龍,19,大阪,54,B2,1.07,0.00,1.14,0.00,0,17,43.04,80,36.11,6 466 6 6,中,高,標準,"3連単フォーメーション 1-{4,6}-{2,4,6}（4点） ＋ 3連複 1=4=6 1点（対抗の1着を押さえ）"
2026-08-18,1,一般戦,1800,15:19,6,4561,藤山翔大,35,大阪,53,A2,5.71,41.12,5.96,45.88,0,20,50.62,29,36.90,4 F64 6 6,中,高,標準,"3連単フォーメーション 1-{4,6}-{2,4,6}（4点） ＋ 3連複 1=4=6 1点（対抗の1着を押さえ）"
2026-08-18,2,一般戦,1800,15:45,1,4834,浜本裕己,38,大阪,51,A2,5.45,36.36,5.17,32.14,0,74,33.73,33,42.67,643 321 2,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,4,5}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-18,2,一般戦,1800,15:45,2,4319,三宅潤,41,大阪,53,A2,5.52,33.33,5.64,36.99,0,29,44.58,55,39.29,555 334 2,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,4,5}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-18,2,一般戦,1800,15:45,3,5325,澁川夏,23,大阪,51,B1,6.01,42.70,3.54,12.60,0,34,29.41,51,38.20,251 5 262,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,4,5}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-18,2,一般戦,1800,15:45,4,4788,小池哲也,37,大阪,54,A2,5.32,31.82,7.05,56.76,0,27,43.02,65,36.14,3 265 433,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,4,5}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-18,2,一般戦,1800,15:45,5,4489,岩川仁士,39,大阪,54,B1,5.15,33.33,4.38,21.79,0,19,39.53,35,31.25,66243 5 4,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,4,5}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-18,2,一般戦,1800,15:45,6,5393,藤原駿,25,大阪,56,B2,1.43,0.00,1.48,0.00,0,61,36.59,83,33.75,6 6 6666F,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,4,5}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-18,3,一般戦,1800,16:07,1,4422,永井亮次,37,大阪,52,B1,4.54,25.64,4.97,26.92,0,84,33.33,53,32.47,341 4 5135,低,低,標準,"3連単フォーメーション 1-{2,5}-{2,5,6}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,3,一般戦,1800,16:07,2,4377,濱本優一,42,大阪,49,A1,5.41,38.24,5.38,34.91,0,56,33.75,58,32.35,3 352 3156,低,低,標準,"3連単フォーメーション 1-{2,5}-{2,5,6}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,3,一般戦,1800,16:07,3,5302,秋末秦悟,23,大阪,52,B1,3.96,22.54,2.48,9.57,0,73,39.02,15,29.63,5 34S 544,低,低,標準,"3連単フォーメーション 1-{2,5}-{2,5,6}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,3,一般戦,1800,16:07,4,4905,土井祥伍,31,大阪,54,B1,4.63,23.08,4.10,20.00,0,11,43.37,85,32.47,565 351 2,低,低,標準,"3連単フォーメーション 1-{2,5}-{2,5,6}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,3,一般戦,1800,16:07,5,3963,原田秀弥,47,大阪,52,A2,5.81,36.61,6.17,46.67,0,24,46.43,77,32.00,163 412 13,低,低,標準,"3連単フォーメーション 1-{2,5}-{2,5,6}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,3,一般戦,1800,16:07,6,4631,新井英孝,39,大阪,53,B1,4.96,33.33,4.88,26.74,0,64,55.42,32,38.75,46F62 3 5,低,低,標準,"3連単フォーメーション 1-{2,5}-{2,5,6}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,4,一般戦,1800,16:33,1,5036,福田翔吾,28,大阪,53,B1,5.13,31.43,5.05,35.11,0,79,36.78,13,35.62,6 23231 15,中,高,標準,"3連単フォーメーション 1-{2,5}-{2,4,5}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,4,一般戦,1800,16:33,2,4389,伊藤喜智,40,大阪,52,A2,5.55,31.87,5.27,33.33,0,85,37.18,81,42.65,423 463 5,中,高,標準,"3連単フォーメーション 1-{2,5}-{2,4,5}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
2026-08-18,4,一般戦,1800,16:33,3,3507,藤井徹,55,大阪,51,B1,4.19,24.66,4.71,23.81,0,67,31.76,21,36.25,1 545 4 6,中,高,標準,"3連単フォーメーション 1-{2,5}-{2,4,5}（4点） ＋ 3連複 1=2=5 1点（対抗の1着を押さえ）"
